season,week,team,ol_week_raw,dl_week_raw,ol_rating_ema,dl_rating_ema,ol_0_100,dl_0_100
2019,1,ARI,0.08036692586684277,0.5984484637888818,0.028128424053394968,0.20945696232610864,57.39040916729099,55.296135276427776
2019,1,ATL,0.10709982099394476,0.6629630719283455,0.037484937347880665,0.2320370751749209,57.699409247583176,56.31408429948874
2019,1,BAL,1.0903138576890044,1.515000701398591,0.3816098501911515,0.5302502454895068,69.06417968635137,69.75802974910647
2019,1,BUF,-0.011660825508564843,0.4097015729446334,-0.004081288927997695,0.14339555053062167,56.32667916614789,52.317977016125674
2019,1,CAR,0.06952656417600538,-0.39855111743711025,0.02433429746160188,-0.13949289110298857,57.265107638334285,39.56489581036373
2019,1,CHI,-0.5577544369919094,0.8692360328433861,-0.1952140529471683,0.3042326114951851,50.01449453395177,59.56877909037153
2019,1,CIN,0.07660053925402541,2.478674410998613,0.02681018873890889,0.8675360438495145,57.346874272913155,84.96343422302462
2019,1,CLE,-0.24716231471805603,1.4460716212755627,-0.0865068101513196,0.5061250674464469,53.60456550323647,68.67042661866437
2019,1,DAL,1.2357529026563532,-0.6132753939752429,0.4325135159297236,-0.214646387891335,70.74527993227905,36.17685124444225
2019,1,DEN,-0.09821153682833349,-1.5949169875595202,-0.03437403788991672,-0.558220945645832,55.32625715349275,20.687939042960984
2019,1,DET,-0.5984484637888821,-0.08036692586684294,-0.20945696232610872,-0.028128424053395027,49.5441205812657,44.58539111062533
2019,1,GB,-0.8692360328433864,0.5577544369919092,-0.3042326114951852,0.1952140529471682,46.414142321068226,54.65404124505977
2019,1,HOU,-1.601717686074542,-0.9057356786233182,-0.5606011901260897,-0.3170074875181613,37.94753634424235,31.562242714261473
2019,1,IND,-0.2515249262487848,0.7058073010391845,-0.08803372418707468,0.24703255536371457,53.55413896668405,56.990105473993864
2019,1,JAX,1.0084890195082168,-0.9126832867322798,0.35297115682787583,-0.31943915035629794,68.11838307705986,31.452619311266616
2019,1,KC,0.9126832867322796,-1.0084890195082168,0.31943915035629783,-0.35297115682787583,67.01098415975353,29.940940717914845
2019,1,LA,0.39855111743711,-0.06952656417600557,0.1394928911029885,-0.02433429746160195,61.068235316514944,44.75643664451373
2019,1,LAC,-0.7058073010391848,0.2515249262487846,-0.24703255536371466,0.0880337241870746,48.30318168659329,49.822173854351455
2019,1,LV,1.59491698755952,0.09821153682833329,0.5582209456458319,0.03437403788991665,74.89678430715068,47.40310599540482
2019,1,MIA,-1.5150007013985913,-1.0903138576890044,-0.5302502454895069,-0.3816098501911515,38.94988027669581,28.649860813838
2019,1,MIN,-0.6629630719283457,-0.10709982099394495,-0.23203707517492098,-0.037484937347880734,48.79840938910593,44.16358393759875
2019,1,NE,0.46438090628649065,-1.0815381248058322,0.16253331720027173,-0.37853834368204126,61.82914841415598,28.788329433158413
2019,1,NO,0.9057356786233179,1.6017176860745415,0.31700748751816127,0.5606011901260894,66.93067817518654,71.12630078692868
2019,1,NYG,0.6132753939752427,-1.2357529026563534,0.21464638789133492,-0.43251351592972365,63.55018941746449,26.355038943117062
2019,1,NYJ,-0.40970157294463355,0.01166082550856462,-0.14339555053062172,0.004081288927997617,51.72580738131024,46.03745851533749
2019,1,PHI,0.6566594357638827,-0.15198047617432234,0.22983080251735893,-0.053193166661012814,64.05165670457842,43.45543084773669
2019,1,PIT,1.081538124805832,-0.46438090628649087,0.3785383436820412,-0.16253331720027178,68.96274278052317,38.52619510086434
2019,1,SEA,-2.4786744109986136,-0.07660053925402563,-0.8675360438495148,-0.026810188738908967,27.81097249188239,44.64481934995834
2019,1,SF,1.1721316671216073,0.1660678020366104,0.41024608349256253,0.05812373071281363,70.00989505177672,48.47378162793771
2019,1,TB,-0.16606780203661062,-1.1721316671216073,-0.05812373071281371,-0.41024608349256253,54.54192042909403,27.358891813439474
2019,1,TEN,-1.4460716212755629,0.2471623147180558,-0.506125067446447,0.08650681015131953,39.74661744980091,49.75333803136854
2019,1,WAS,0.15198047617432214,-0.656659435763883,0.053193166661012745,-0.22983080251735902,58.218175583528705,35.492312591433404
2019,2,ARI,-0.6734249556178258,-0.9417144925603396,-0.2174152588315323,-0.19345304688414822,49.281296794052764,37.13228228759571
2019,2,ATL,0.3153361502089422,0.5757391346065563,0.13473286184925218,0.3523327959759933,60.91103472530064,61.737215365651984
2019,2,BAL,0.9417144925603397,0.6734249556178259,0.5776464750203674,0.5803613940344184,75.53831496579755,72.01712362730375
2019,2,BUF,-0.08434497988059897,-0.9904028160317466,-0.03217358076140814,-0.2534338777662072,55.39892753913623,34.42824672286697
2019,2,CAR,0.18632051849107784,1.8546990477853529,0.08102947482191847,0.5584742875079309,59.1374733161389,71.03041648126569
2019,2,CHI,1.2046646592748482,-0.3900905940581574,0.2947434963305374,0.06121948955151524,66.19540694240212,48.613343582591725
2019,2,CIN,-0.4456749588975494,-1.156778316441609,-0.1385596129338515,0.15902601774762137,51.88551485552189,53.02262446142701
2019,2,CLE,-0.1862444110639602,1.025862063356985,-0.12141497047074382,0.6880330160151353,52.45171892438195,76.8711393330944
2019,2,DAL,0.9479149818308754,-0.8609388195085592,0.6129040289951266,-0.44084873895736343,76.70270031600356,25.979273233052094
2019,2,DEN,0.3900905940581575,-1.2046646592748482,0.11418858329190923,-0.7844762454159877,60.23255722797207,10.487974015969998
2019,2,DET,1.5292697104962114,-0.8609388195085592,0.39909737316170324,-0.31961206246270246,69.64170742899847,31.44482414607109
