schedule_season,schedule_week,team,elo_pre,elo_post
2019,12,HOUSTON TEXANS,1500.005323926285,1500.007444970667
2019,12,INDIANAPOLIS COLTS,1500.0036624165227,1500.0015413721408
2019,12,JACKSONVILLE JAGUARS,1499.9942187241156,1499.9911231835492
2019,12,LOS ANGELES RAMS,1500.00736471886,1500.0030998578343
2019,12,MIAMI DOLPHINS,1499.9842082939297,1499.981112803425
2019,12,NEW ENGLAND PATRIOTS,1500.021695550467,1500.0241864861289
2019,12,NEW ORLEANS SAINTS,1500.0162973208112,1500.0184428920916
2019,12,NEW YORK GIANTS,1499.976519712724,1499.9737465843384
2019,12,NEW YORK JETS,1499.9856746030887,1499.9887703976879
2019,12,OAKLAND RAIDERS,1500.0049980298206,1500.0019022352215
2019,12,PHILADELPHIA EAGLES,1499.9989309254609,1499.994682478697
2019,12,PITTSBURGH STEELERS,1500.0016495691107,1500.0057829025895
2019,12,SAN FRANCISCO 49ERS,1500.0202203504332,1500.0233158952653
2019,12,SEATTLE SEAHAWKS,1500.0122277632252,1500.016476209989
2019,12,TAMPA BAY BUCCANEERS,1499.9894280438177,1499.9936766505816
2019,12,TENNESSEE TITANS,1499.9995378817337,1500.0026334223
2019,13,ARIZONA CARDINALS,1499.9873956675722,1499.9830311688995
2019,13,ATLANTA FALCONS,1499.9874035130542,1499.9830893054664
2019,13,BALTIMORE RAVENS,1500.0227301697037,1500.0249345033942
2019,13,BUFFALO BILLS,1500.0105682417127,1500.0148826996083
2019,13,CHICAGO BEARS,1499.993851068691,1499.9973230075893
2019,13,CINCINNATI BENGALS,1499.968317140802,1499.971497531644
2019,13,CLEVELAND BROWNS,1499.9974792616201,1499.9942991753235
2019,13,DALLAS COWBOYS,1500.003438703469,1499.9991242455735
2019,13,DENVER BRONCOS,1499.989590179581,1499.9917945174811
2019,13,DETROIT LIONS,1499.989130478862,1499.9856585399637
2019,13,GREEN BAY PACKERS,1500.012219452082,1500.0165837096222
2019,13,HOUSTON TEXANS,1500.007444970667,1500.0105393333772
2019,13,INDIANAPOLIS COLTS,1500.0015413721408,1499.9971767187203
2019,13,JACKSONVILLE JAGUARS,1499.9911231835492,1499.9867585456054
2019,13,KANSAS CITY CHIEFS,1500.0076874044676,1500.0108675174354
2019,13,LOS ANGELES CHARGERS,1499.9906804775114,1499.9884761396113
2019,13,LOS ANGELES RAMS,1500.0030998578343,1500.007464356507
2019,13,MIAMI DOLPHINS,1499.981112803425,1499.984207128991
2019,13,MINNESOTA VIKINGS,1500.0136660597268,1500.010473645487
2019,13,NEW ENGLAND PATRIOTS,1500.0241864861289,1500.0210921234186
2019,13,NEW ORLEANS SAINTS,1500.0184428920916,1500.0227570996794
2019,13,NEW YORK GIANTS,1499.9737465843384,1499.9693823267983
2019,13,NEW YORK JETS,1499.9887703976879,1499.9855900068458
2019,13,OAKLAND RAIDERS,1500.0019022352215,1499.9987221222536
2019,13,PHILADELPHIA EAGLES,1499.994682478697,1499.991588153131
2019,13,PITTSBURGH STEELERS,1500.0057829025895,1500.0089629888862
2019,13,SAN FRANCISCO 49ERS,1500.0233158952653,1500.0211115615748
2019,13,SEATTLE SEAHAWKS,1500.016476209989,1500.0196686242286
2019,13,TAMPA BAY BUCCANEERS,1499.9936766505816,1499.9980412885254
2019,13,TENNESSEE TITANS,1500.0026334223,1500.0069980757205
2019,14,ARIZONA CARDINALS,1499.9830311688995,1499.9786688443016
2019,14,ATLANTA FALCONS,1499.9830893054664,1499.9863565306027
2019,14,BALTIMORE RAVENS,1500.0249345033942,1500.0294183117742
2019,14,BUFFALO BILLS,1500.0148826996083,1500.0103988912283
2019,14,CAROLINA PANTHERS,1499.9979038386373,1499.994636613501
2019,14,CHICAGO BEARS,1499.9973230075893,1500.0005525654897
2019,14,CINCINNATI BENGALS,1499.971497531644,1499.9682307157564
2019,14,CLEVELAND BROWNS,1499.9942991753235,1499.997565991211
2019,14,DALLAS COWBOYS,1499.9991242455735,1499.9958946876732
2019,14,DENVER BRONCOS,1499.9917945174811,1499.9962786391566
2019,14,DETROIT LIONS,1499.9856585399637,1499.9823917459812
2019,14,HOUSTON TEXANS,1500.0105393333772,1500.0060552117018
2019,14,INDIANAPOLIS COLTS,1499.9971767187203,1499.9949121699585
2019,14,JACKSONVILLE JAGUARS,1499.9867585456054,1499.9822746465518
2019,14,KANSAS CITY CHIEFS,1500.0108675174354,1500.015351546415
2019,14,LOS ANGELES CHARGERS,1499.9884761396113,1499.992960038665
2019,14,LOS ANGELES RAMS,1500.007464356507,1500.0107315532443
2019,14,MIAMI DOLPHINS,1499.984207128991,1499.9830748568313
2019,14,MINNESOTA VIKINGS,1500.010473645487,1500.0137404394695
2019,14,NEW ENGLAND PATRIOTS,1500.0210921234186,1500.0166080944389
2019,14,NEW ORLEANS SAINTS,1500.0227570996794,1500.0202940444376
2019,14,NEW YORK GIANTS,1499.9693823267983,1499.966191624291
2019,14,NEW YORK JETS,1499.9855900068458,1499.9867222790056
2019,14,OAKLAND RAIDERS,1499.9987221222536,1499.9942382945528
2019,14,PHILADELPHIA EAGLES,1499.991588153131,1499.9947788556383
2019,14,PITTSBURGH STEELERS,1500.0089629888862,1500.013325313484
2019,14,SAN FRANCISCO 49ERS,1500.0211115615748,1500.0235746168166
2019,14,SEATTLE SEAHAWKS,1500.0196686242286,1500.0164014274912
2019,14,TAMPA BAY BUCCANEERS,1499.9980412885254,1500.0003058372872
2019,14,TENNESSEE TITANS,1500.0069980757205,1500.0114819034213
2019,15,ARIZONA CARDINALS,1499.9786688443016,1499.9820253832263
2019,15,ATLANTA FALCONS,1499.9863565306027,1499.9909633753348
2019,15,BALTIMORE RAVENS,1500.0294183117742,1500.0327356170556
2019,15,BUFFALO BILLS,1500.0103988912283,1500.0150053526932
2019,15,CAROLINA PANTHERS,1499.994636613501,1499.9901550462896
2019,15,CHICAGO BEARS,1500.0005525654897,1499.9971964169551
2019,15,CINCINNATI BENGALS,1499.9682307157564,1499.9636248277202
2019,15,CLEVELAND BROWNS,1499.997565991211,1499.9942094522864
2019,15,DALLAS COWBOYS,1499.9958946876732,1499.9992511812159
2019,15,DENVER BRONCOS,1499.9962786391566,1499.992922524619
2019,15,DETROIT LIONS,1499.9823917459812,1499.9777855174502
2019,15,GREEN BAY PACKERS,1500.0165837096222,1500.0199398581567
2019,15,HOUSTON TEXANS,1500.0060552117018,1500.0092481947247
2019,15,INDIANAPOLIS COLTS,1499.9949121699585,1499.9915431775055
2019,15,JACKSONVILLE JAGUARS,1499.9822746465518,1499.9859816548549
2019,15,KANSAS CITY CHIEFS,1500.015351546415,1500.0187076609527
2019,15,LOS ANGELES CHARGERS,1499.992960038665,1499.988353842171
2019,15,LOS ANGELES RAMS,1500.0107315532443,1500.0073750597016
2019,15,MIAMI DOLPHINS,1499.9830748568313,1499.9797183404162
2019,15,MINNESOTA VIKINGS,1500.0137404394695,1500.0183466359636
2019,15,NEW ENGLAND PATRIOTS,1500.0166080944389,1500.021213982475
2019,15,NEW ORLEANS SAINTS,1500.0202940444376,1500.0236630368906
2019,15,NEW YORK GIANTS,1499.966191624291,1499.9695481407061
2019,15,NEW YORK JETS,1499.9867222790056,1499.9834049737242
2019,15,OAKLAND RAIDERS,1499.9942382945528,1499.9905312862497
2019,15,PITTSBURGH STEELERS,1500.013325313484,1500.0087188520192
2019,15,SAN FRANCISCO 49ERS,1500.0235746168166,1500.0189677720846
2019,15,SEATTLE SEAHAWKS,1500.0164014274912,1500.0208829947026
2019,15,TAMPA BAY BUCCANEERS,1500.0003058372872,1500.0049120658182
2019,15,TENNESSEE TITANS,1500.0114819034213,1500.0082889203984
2019,16,ARIZONA CARDINALS,1499.9820253832263,1499.9867581164494
2019,16,ATLANTA FALCONS,1499.9909633753348,1499.9944113484905
2019,16,BALTIMORE RAVENS,1500.0327356170556,1500.0374674617374
2019,16,BUFFALO BILLS,1500.0150053526932,1500.0115706455551
2019,16,CAROLINA PANTHERS,1499.9901550462896,1499.9867070318714
2019,16,CHICAGO BEARS,1499.9971964169551,1499.9924643768982
2019,16,CINCINNATI BENGALS,1499.9636248277202,1499.9612349807678
2019,16,CLEVELAND BROWNS,1499.9942094522864,1499.9894776076046
2019,16,DALLAS COWBOYS,1499.9992511812159,1499.9958030995062
2019,16,DENVER BRONCOS,1499.992922524619,1499.99637038117
2019,16,DETROIT LIONS,1499.9777855174502,1499.9743376608992
2019,16,GREEN BAY PACKERS,1500.0199398581567,1500.0246903851564
2019,16,HOUSTON TEXANS,1500.0092481947247,1500.012515718285
2019,16,INDIANAPOLIS COLTS,1499.9915431775055,1499.9949911919236
2019,16,JACKSONVILLE JAGUARS,1499.9859816548549,1499.9825336816991
2019,16,KANSAS CITY CHIEFS,1500.0187076609527,1500.0234397010097
2019,16,LOS ANGELES CHARGERS,1499.988353842171,1499.9836215801156
2019,16,LOS ANGELES RAMS,1500.0073750597016,1500.004994357364
2019,16,MIAMI DOLPHINS,1499.9797183404162,1499.9821081873686
2019,16,MINNESOTA VIKINGS,1500.0183466359636,1500.0135961089638
2019,16,NEW ENGLAND PATRIOTS,1500.021213982475,1500.024648689613
2019,16,NEW ORLEANS SAINTS,1500.0236630368906,1500.028395147417
2019,16,NEW YORK JETS,1499.9834049737242,1499.986760073765
2019,16,OAKLAND RAIDERS,1499.9905312862497,1499.995263548305
2019,16,PHILADELPHIA EAGLES,1499.9947788556383,1499.998226937348
2019,16,PITTSBURGH STEELERS,1500.0087188520192,1500.0053637519784
2019,16,SAN FRANCISCO 49ERS,1500.0189677720846,1500.0213484744222
2019,16,SEATTLE SEAHAWKS,1500.0208829947026,1500.0161502614794
2019,16,TAMPA BAY BUCCANEERS,1500.0049120658182,1500.001644542258
2019,16,TENNESSEE TITANS,1500.0082889203984,1500.003556809872
2019,17,ARIZONA CARDINALS,1499.9867581164494,1499.9832160930312
2019,17,ATLANTA FALCONS,1499.9944113484905,1499.9991415499762
2019,17,BALTIMORE RAVENS,1500.0374674617374,1500.0410093215787
2019,17,BUFFALO BILLS,1500.0115706455551,1500.0067087687949
2019,17,CAROLINA PANTHERS,1499.9867070318714,1499.9818459395349
2019,17,CHICAGO BEARS,1499.9924643768982,1499.9951350374913
2019,17,CINCINNATI BENGALS,1499.9612349807678,1499.964777552453
2019,17,CLEVELAND BROWNS,1499.9894776076046,1499.9859350359195
2019,17,DENVER BRONCOS,1499.99637038117,1499.9975980223528
2019,17,DETROIT LIONS,1499.9743376608992,1499.970968356415
2019,17,GREEN BAY PACKERS,1500.0246903851564,1500.0280596896407
2019,17,HOUSTON TEXANS,1500.012515718285,1500.007654028508
2019,17,INDIANAPOLIS COLTS,1499.9949911919236,1499.9914488064433
2019,17,JACKSONVILLE JAGUARS,1499.9825336816991,1499.9860760671795
2019,17,KANSAS CITY CHIEFS,1500.0234397010097,1500.026981469855
2019,17,LOS ANGELES CHARGERS,1499.9836215801156,1499.9800798112703
2019,17,LOS ANGELES RAMS,1500.004994357364,1500.0085363807823
2019,17,MIAMI DOLPHINS,1499.9821081873686,1499.9854783936673
2019,17,MINNESOTA VIKINGS,1500.0135961089638,1500.0109254483707
2019,17,NEW ENGLAND PATRIOTS,1500.024648689613,1500.0212784833143
2019,17,NEW ORLEANS SAINTS,1500.028395147417,1500.0332562397537
2019,17,NEW YORK GIANTS,1499.9695481407061,1499.964686894907
2019,17,NEW YORK JETS,1499.986760073765,1499.9916219505253
2019,17,OAKLAND RAIDERS,1499.995263548305,1499.9940359071222
2019,17,PHILADELPHIA EAGLES,1499.998226937348,1500.0030881831472
2019,17,PITTSBURGH STEELERS,1500.0053637519784,1500.001821892137
2019,17,SAN FRANCISCO 49ERS,1500.0213484744222,1500.0257038038694
2019,17,SEATTLE SEAHAWKS,1500.0161502614794,1500.0117949320322
2019,17,TAMPA BAY BUCCANEERS,1500.001644542258,1499.9969143407723
2019,17,TENNESSEE TITANS,1500.003556809872,1500.008418499649
2019,2,ARIZONA CARDINALS,1500.0,1499.9976998054603
2019,2,ATLANTA FALCONS,1499.9976987158307,1499.9996012172364
2019,2,BALTIMORE RAVENS,1500.0031584226826,1500.0054586172223
2019,2,BUFFALO BILLS,1500.0010946258888,1500.0043393172575
2019,2,CAROLINA PANTHERS,1499.9978107482225,1499.9946900353991
2019,2,CHICAGO BEARS,1499.996877854896,1499.9986602026568
2019,2,CINCINNATI BENGALS,1499.9992024356832,1499.9959577487239
2019,2,CLEVELAND BROWNS,1499.9968415773174,1500.0000988306388
2019,2,DENVER BRONCOS,1499.9976898369202,1499.9959074891594
2019,2,DETROIT LIONS,1500.0,1500.0016387251283
2019,2,GREEN BAY PACKERS,1500.003122145104,1500.005240142079
2019,2,HOUSTON TEXANS,1499.9987310132258,1499.9995503629877
2019,2,INDIANAPOLIS COLTS,1499.9977609538894,1499.9995433251956
2019,2,JACKSONVILLE JAGUARS,1499.9968415773174,1499.9960222275554
2019,2,KANSAS CITY CHIEFS,1500.0031584226826,1500.006403134109
2019,2,LOS ANGELES CHARGERS,1500.0022390461106,1500.0006003209824
2019,2,LOS ANGELES RAMS,1500.0021892517775,1500.0045534051144
2019,2,MIAMI DOLPHINS,1499.9968415773174,1499.9935969021967
2019,2,MINNESOTA VIKINGS,1500.0023012841693,1500.0001832871944
2019,2,NEW ENGLAND PATRIOTS,1500.0023012841693,1500.00554595929
2019,2,NEW ORLEANS SAINTS,1500.0012689867742,1499.9989048334373
2019,2,NEW YORK GIANTS,1499.9976987158307,1499.994454024462
2019,2,NEW YORK JETS,1499.9989053741112,1499.9956481207898
2019,2,OAKLAND RAIDERS,1500.0023101630798,1499.9990654516535
2019,2,PHILADELPHIA EAGLES,1500.0,1499.9980974985942
2019,2,PITTSBURGH STEELERS,1499.9976987158307,1499.995916388151
2019,2,SAN FRANCISCO 49ERS,1500.0031584226826,1500.006403109642
2019,2,SEATTLE SEAHAWKS,1500.0007975643168,1500.0025798919964
2019,2,TAMPA BAY BUCCANEERS,1499.9968415773174,1499.9999622901407
2019,2,TENNESSEE TITANS,1500.0031584226826,1500.0013760513764
2019,3,ARIZONA CARDINALS,1499.9976998054603,1499.9943664098005
2019,3,ATLANTA FALCONS,1499.9996012172364,1499.9979177322398
2019,3,BALTIMORE RAVENS,1500.0054586172223,1500.0032827526836
2019,3,BUFFALO BILLS,1500.0043393172575,1500.0062937203872
2019,3,CAROLINA PANTHERS,1499.9946900353991,1499.998023431059
2019,3,CINCINNATI BENGALS,1499.9959577487239,1499.9940033455941
2019,3,CLEVELAND BROWNS,1500.0000988306388,1499.9967654953505
2019,3,DALLAS COWBOYS,1500.0023012841693,1500.0047299686926
2019,3,DENVER BRONCOS,1499.9959074891594,1499.9934788097175
2019,3,DETROIT LIONS,1500.0016387251283,1500.0039492184865
2019,3,GREEN BAY PACKERS,1500.005240142079,1500.0076688215208
2019,3,HOUSTON TEXANS,1499.9995503629877,1500.0028837427967
2019,3,INDIANAPOLIS COLTS,1499.9995433251956,1500.0012268101923
2019,3,JACKSONVILLE JAGUARS,1499.9960222275554,1499.998423128654
2019,3,KANSAS CITY CHIEFS,1500.006403134109,1500.0085789986476
2019,3,LOS ANGELES CHARGERS,1500.0006003209824,1499.9972669411734
2019,3,LOS ANGELES RAMS,1500.0045534051144,1500.0078867404027
2019,3,MIAMI DOLPHINS,1499.9935969021967,1499.9911682176735
2019,3,MINNESOTA VIKINGS,1500.0001832871944,1500.0026120330772
2019,3,NEW ENGLAND PATRIOTS,1500.00554595929,1500.0079746341607
2019,3,NEW ORLEANS SAINTS,1499.9989048334373,1500.002148088313
2019,3,NEW YORK GIANTS,1499.994454024462,1499.9956093012595
2019,3,NEW YORK JETS,1499.9956481207898,1499.993219445919
2019,3,OAKLAND RAIDERS,1499.9990654516535,1499.9966367057707
2019,3,PHILADELPHIA EAGLES,1499.9980974985942,1499.995787005236
2019,3,PITTSBURGH STEELERS,1499.995916388151,1499.9939620005928
2019,3,SAN FRANCISCO 49ERS,1500.006403109642,1500.0083574972002
2019,3,SEATTLE SEAHAWKS,1500.0025798919964,1499.9993366371207
2019,3,TAMPA BAY BUCCANEERS,1499.9999622901407,1499.9988070133431
2019,3,TENNESSEE TITANS,1500.0013760513764,1499.9989751502778
2019,4,ARIZONA CARDINALS,1499.9943664098005,1499.9909420043575
2019,4,ATLANTA FALCONS,1499.9979177322398,1499.9944932942853
2019,4,BALTIMORE RAVENS,1500.0032827526836,1499.9998582517917
2019,4,BUFFALO BILLS,1500.0062937203872,1500.0029619036884
2019,4,CAROLINA PANTHERS,1499.998023431059,1500.0013553105453
2019,4,CHICAGO BEARS,1499.9986602026568,1500.0011553496252
2019,4,CINCINNATI BENGALS,1499.9940033455941,1499.9914986043634
2019,4,CLEVELAND BROWNS,1499.9967654953505,1500.0001899962424
2019,4,DALLAS COWBOYS,1500.0047299686926,1500.003359373776
2019,4,DENVER BRONCOS,1499.9934788097175,1499.9915977668763
2019,4,DETROIT LIONS,1500.0039492184865,1500.0011935380357
2019,4,GREEN BAY PACKERS,1500.0076688215208,1500.0042836103148
2019,4,HOUSTON TEXANS,1500.0028837427967,1499.9995518633104
2019,4,INDIANAPOLIS COLTS,1500.0012268101923,1499.997802325313
2019,4,JACKSONVILLE JAGUARS,1499.998423128654,1500.0003041714951
2019,4,KANSAS CITY CHIEFS,1500.0085789986476,1500.0113346790984
2019,4,LOS ANGELES CHARGERS,1499.9972669411734,1500.0006913372395
2019,4,LOS ANGELES RAMS,1500.0078867404027,1500.0044622182195
2019,4,MIAMI DOLPHINS,1499.9911682176735,1499.9877438216074
2019,4,MINNESOTA VIKINGS,1500.0026120330772,1500.0001168861088
2019,4,NEW ENGLAND PATRIOTS,1500.0079746341607,1500.0113064508596
2019,4,NEW ORLEANS SAINTS,1500.002148088313,1500.0035186832297
2019,4,OAKLAND RAIDERS,1499.9966367057707,1500.00006119065
2019,4,PHILADELPHIA EAGLES,1499.995787005236,1499.999172216442
2019,4,PITTSBURGH STEELERS,1499.9939620005928,1499.9964667418235
2019,4,SEATTLE SEAHAWKS,1499.9993366371207,1500.0027610425636
