season,week,team,off_epa,off_sr,pass_rate,rush_rate,air_yds,qb_epa,qb_hit,sacks,plays,def_epa,def_sr,off_epa_r8,off_sr_r8,def_epa_r8,def_sr_r8,pass_rate_r8,rush_rate_r8,qb_epa_r8
2023,1,ARI,-0.2500868,0.32894737,0.4868421,0.32894737,6.2,-0.2500868,5.0,3.0,76,-0.19955018,0.37078652,,,,,,,
2023,2,ARI,0.0892357,0.40697673,0.40229884,0.33333334,9.967742,0.0892357,6.0,0.0,87,0.14376538,0.49411765,,,,,,,
2023,3,ARI,0.21451673,0.5064935,0.3846154,0.37179488,6.2380953,0.21451673,4.0,2.0,78,0.050913107,0.45833334,,,,,,,
2023,4,ARI,0.07800373,0.44186047,0.5697674,0.26744187,8.268292,0.07800373,7.0,1.0,86,0.40712535,0.60294116,0.032917335629463196,0.42106951773166656,0.10056341346353292,0.48154466599226,0.46088093519210815,0.3253793641924858,0.032917335629463196
2023,5,ARI,-0.27976376,0.30555555,0.47945204,0.30136988,9.75,-0.27976376,7.0,3.0,73,-0.00716832,0.5051546,-0.02961888313293457,0.39796672463417054,0.0790170667693019,0.48626665472984315,0.46459515690803527,0.32057746648788454,-0.02961888313293457
2023,6,ARI,-0.15245877,0.3548387,0.5106383,0.28723404,10.390244,-0.15245877,9.0,2.0,94,0.055935994,0.45833334,-0.050092197954654694,0.39077872037887573,0.075170221272856,0.48161110281944275,0.4722690135240555,0.31502022842566174,-0.050092197954654694
2023,7,ARI,-0.14743419,0.33734939,0.5180723,0.28915662,6.9411764,-0.14743419,7.0,4.0,83,-0.0047256267,0.46478873,-0.06399819680622645,0.3831459581851959,0.06375652870961598,0.4792079074042184,0.47881234117916655,0.3113254266125815,-0.06399819680622645
2023,8,ARI,-0.09849318,0.4456522,0.47826087,0.33695653,7.108108,-0.09849318,7.0,2.0,92,0.02126024,0.4878049,-0.06831006985157728,0.3909592367708683,0.058444492518901825,0.4802825301885605,0.47874340787529945,0.31452931463718414,-0.06831006985157728
2023,9,ARI,-0.5443214,0.23880596,0.5,0.25,2.45,-0.5443214,9.0,7.0,68,-0.062034056,0.3483146,-0.10508939530700445,0.3796915616840124,0.07563400827348232,0.47747354209423065,0.4803881458938122,0.3046608939766884,-0.10508939530700445
2023,10,ARI,0.016587289,0.4814815,0.4878049,0.29268292,10.40625,0.016587289,2.0,2.0,82,0.007101594,0.40697673,-0.11417044675908983,0.38900465704500675,0.05855103564681485,0.46658092737197876,0.49107640236616135,0.29957959055900574,-0.11417044675908983
