sim_id,roi
0,-0.2929292929292929
1,-0.1515151515151515
2,0.5555555555555555
3,-0.505050505050505
4,0.202020202020202
5,0.202020202020202
6,0.4141414141414141
7,0.06060606060606062
8,-0.15151515151515155
9,0.06060606060606062
10,0.06060606060606058
11,0.9090909090909091
12,0.202020202020202
13,0.202020202020202
14,0.5555555555555555
15,0.5555555555555555
16,0.06060606060606058
17,0.06060606060606062
18,0.5555555555555555
19,0.06060606060606062
20,0.9090909090909091
21,0.4141414141414141
22,0.5555555555555555
23,0.202020202020202
24,0.9090909090909091
25,-0.1515151515151515
26,-0.2929292929292929
27,0.202020202020202
28,0.202020202020202
29,0.06060606060606058
30,-0.505050505050505
31,0.202020202020202
32,-0.15151515151515155
33,0.4141414141414141
34,0.7676767676767676
35,-0.29292929292929293
36,0.5555555555555555
37,0.06060606060606062
38,0.5555555555555555
39,0.06060606060606062
40,-0.505050505050505
41,0.202020202020202
42,0.4141414141414141
43,0.7676767676767676
44,0.5555555555555555
45,0.4141414141414141
46,0.4141414141414141
47,0.9090909090909091
48,0.202020202020202
49,-0.6464646464646465
50,0.202020202020202
51,0.9090909090909091
52,0.5555555555555555
53,0.202020202020202
54,-0.15151515151515146
55,0.06060606060606062
56,0.06060606060606058
57,-0.2929292929292929
58,0.9090909090909091
59,0.4141414141414141
60,0.202020202020202
61,-0.2929292929292929
62,0.5555555555555555
63,0.06060606060606058
64,-0.2929292929292929
65,0.7676767676767676
66,0.202020202020202
67,-0.2929292929292929
68,0.06060606060606058
69,0.4141414141414141
70,-0.15151515151515155
71,-0.29292929292929293
72,0.202020202020202
73,-0.15151515151515146
74,0.06060606060606062
75,0.202020202020202
76,0.06060606060606062
77,-0.29292929292929293
78,0.9090909090909091
79,0.4141414141414141
80,0.9090909090909091
81,0.4141414141414141
82,0.202020202020202
83,0.06060606060606058
84,0.4141414141414141
85,0.5555555555555555
86,0.06060606060606058
87,0.202020202020202
88,0.06060606060606062
89,0.5555555555555555
90,0.06060606060606062
91,0.5555555555555555
92,0.5555555555555555
93,0.5555555555555555
94,0.202020202020202
95,0.06060606060606058
96,0.202020202020202
97,0.4141414141414141
98,0.5555555555555555
99,0.06060606060606058
100,-0.6464646464646464
101,0.202020202020202
102,-0.2929292929292929
103,0.202020202020202
104,-0.1515151515151515
105,0.202020202020202
106,-1.0
107,0.7676767676767676
108,0.06060606060606058
109,0.202020202020202
110,0.202020202020202
111,0.202020202020202
112,-0.15151515151515146
113,0.9090909090909091
114,0.4141414141414141
115,0.202020202020202
116,0.5555555555555555
117,-0.29292929292929293
118,-0.29292929292929293
119,-0.15151515151515155
120,0.7676767676767676
121,0.9090909090909091
122,0.7676767676767676
123,0.5555555555555555
124,0.202020202020202
125,0.5555555555555555
126,0.202020202020202
127,0.5555555555555555
128,0.4141414141414141
129,-0.15151515151515155
130,0.06060606060606058
131,0.06060606060606062
132,0.9090909090909091
133,-0.505050505050505
134,0.202020202020202
135,0.06060606060606058
136,0.5555555555555555
137,-0.15151515151515146
138,0.202020202020202
139,0.06060606060606062
140,0.202020202020202
141,0.4141414141414141
142,-0.505050505050505
143,0.06060606060606058
144,0.06060606060606062
145,-0.505050505050505
146,0.7676767676767676
147,0.5555555555555555
148,0.4141414141414141
149,0.202020202020202
150,0.5555555555555555
151,0.202020202020202
152,-0.2929292929292929
153,0.4141414141414141
154,0.4141414141414141
155,0.4141414141414141
156,-0.1515151515151515
157,0.202020202020202
158,0.5555555555555555
159,-0.15151515151515146
160,0.5555555555555555
161,0.5555555555555555
162,0.4141414141414141
163,0.06060606060606058
164,0.202020202020202
165,-0.15151515151515146
166,0.5555555555555555
167,0.5555555555555555
168,0.06060606060606058
169,0.7676767676767676
170,-0.505050505050505
171,-0.1515151515151515
172,0.4141414141414141
173,0.06060606060606058
174,0.4141414141414141
175,0.202020202020202
176,0.06060606060606058
177,0.4141414141414141
178,0.06060606060606058
179,0.202020202020202
180,-0.6464646464646464
181,0.202020202020202
182,0.5555555555555555
183,-0.15151515151515155
184,0.202020202020202
185,0.4141414141414141
186,0.06060606060606058
187,0.202020202020202
188,-0.505050505050505
189,0.202020202020202
190,0.06060606060606062
191,-0.2929292929292929
192,0.9090909090909091
193,0.06060606060606058
194,-0.15151515151515146
195,0.06060606060606058
196,0.5555555555555555
197,0.4141414141414141
198,0.202020202020202
199,0.06060606060606058
200,0.4141414141414141
201,0.202020202020202
202,0.9090909090909091
203,0.202020202020202
204,0.202020202020202
205,0.7676767676767676
206,0.5555555555555555
207,0.5555555555555555
208,0.202020202020202
209,-0.2929292929292929
210,0.4141414141414141
211,0.202020202020202
212,0.9090909090909091
213,0.5555555555555555
214,0.202020202020202
215,0.9090909090909091
216,0.5555555555555555
217,-0.6464646464646464
218,0.4141414141414141
219,-0.15151515151515155
220,0.4141414141414141
221,0.5555555555555555
222,0.06060606060606062
223,0.4141414141414141
224,0.5555555555555555
225,-0.15151515151515146
226,0.202020202020202
227,0.9090909090909091
228,0.4141414141414141
229,0.06060606060606058
230,0.4141414141414141
231,-0.505050505050505
232,0.202020202020202
233,0.5555555555555555
234,-0.15151515151515155
235,-0.6464646464646464
236,0.06060606060606058
237,0.9090909090909091
238,0.06060606060606062
239,-0.15151515151515155
240,0.9090909090909091
241,0.202020202020202
242,0.202020202020202
243,0.202020202020202
244,-0.15151515151515146
245,0.5555555555555555
246,0.5555555555555555
247,0.5555555555555555
248,-0.29292929292929293
249,0.06060606060606058
250,-0.15151515151515146
251,0.4141414141414141
252,-0.1515151515151515
253,0.202020202020202
254,0.5555555555555555
