season,week,team_home,team_away,spread_home,home_cover_prob_raw,home_cover_prob,model_spread,edge_vs_market,model_home_win_prob,model_away_win_prob,model_home_ml,model_away_ml,pick,pick_tier,units,pick_conf,cover_rate_simulated,difference_vs_model
2025,10,MIAMI DOLPHINS,BUFFALO BILLS,-9.5,0.0093801205220767,0.4237709646522201,-2.1354230552954028,7.364576944704597,0.4237709646522201,0.5762290353477799,136,-136,PASS,PASS,0.0,0.4237709646522201,0.4281,0.004329035347779897
2025,10,HOUSTON TEXANS,JACKSONVILLE JAGUARS,1.5,0.6938168997376654,0.5928355786298607,2.6106310072590837,1.1106310072590833,0.5928355786298607,0.4071644213701393,-146,146,PASS,PASS,0.0,0.5928355786298607,0.5959,0.003064421370139292
2025,10,MINNESOTA VIKINGS,BALTIMORE RAVENS,-3.5,0.3046478974475423,0.5425969107625049,1.1868515737861518,4.686851573786152,0.5425969107625049,0.457403089237495,-119,119,HOME,STRONG,0.25,0.5425969107625049,0.5452,0.002603089237495082
2025,10,SEATTLE SEAHAWKS,ARIZONA CARDINALS,6.5,0.9703574903268776,0.670107429378004,4.92435036535595,-1.5756496346440496,0.670107429378004,0.3298925706219959,-203,203,PASS,PASS,0.0,0.3298925706219959,0.6719,0.0017925706219960036
2025,10,CHICAGO BEARS,NEW YORK GIANTS,3.5,0.8541974545166954,0.6210810615334871,3.4336315943770064,-0.0663684056229936,0.6210810615334871,0.3789189384665129,-164,164,PASS,PASS,0.0,0.3789189384665129,0.6228,0.0017189384665129426
2025,10,DENVER BRONCOS,LAS VEGAS RAIDERS,9.5,0.9922964862034048,0.7067144642285591,6.111253360599537,-3.3887466394004626,0.7067144642285591,0.2932855357714409,-241,241,PASS,PASS,0.0,0.2932855357714409,0.7071,0.00038553577144084805
2025,10,INDIANAPOLIS COLTS,ATLANTA FALCONS,6.5,0.9683886540976184,0.6682763322133682,4.866873947620095,-1.6331260523799047,0.6682763322133682,0.3317236677866317,-201,201,PASS,PASS,0.0,0.3317236677866317,0.6679,-0.0003763322133681912
2025,10,TAMPA BAY BUCCANEERS,NEW ENGLAND PATRIOTS,2.5,0.6987896176360818,0.5935431549496217,2.6310057444914725,0.1310057444914725,0.5935431549496217,0.4064568450503782,-146,146,PASS,PASS,0.0,0.5935431549496217,0.59195,-0.0015931549496217556
2025,10,SAN FRANCISCO 49ERS,LOS ANGELES RAMS,-4.5,0.0791926519322261,0.4919497474920372,-0.2237748729414675,4.276225127058533,0.4919497474920372,0.5080502525079629,103,-103,PASS,PASS,0.0,0.4919497474920372,0.4902,-0.001749747492037157
2025,10,LOS ANGELES CHARGERS,PITTSBURGH STEELERS,3.0,0.7454813341008664,0.6005359802252793,2.8329818346761293,-0.1670181653238707,0.6005359802252793,0.3994640197747207,-150,150,PASS,PASS,0.0,0.3994640197747207,0.5971,-0.003435980225279356
2025,10,WASHINGTON COMMANDERS,DETROIT LIONS,-8.5,0.0174935886356066,0.4431035617649653,-1.5883071882028508,6.911692811797149,0.4431035617649653,0.5568964382350348,126,-126,PASS,PASS,0.0,0.4431035617649653,0.4389,-0.00420356176496528
2025,10,CAROLINA PANTHERS,NEW ORLEANS SAINTS,5.5,0.948899192087797,0.654296398321434,4.433130007073564,-1.0668699929264358,0.654296398321434,0.3457036016785659,-189,189,PASS,PASS,0.0,0.3457036016785659,0.64965,-0.004646398321434098
2025,10,NEW YORK JETS,CLEVELAND BROWNS,-2.5,0.2041968122076687,0.5259997219444924,0.7233106902098884,3.2233106902098885,0.5259997219444924,0.4740002780555076,-111,111,HOME,LEAN,0.1,0.5259997219444924,0.52105,-0.004949721944492391
2025,10,GREEN BAY PACKERS,PHILADELPHIA EAGLES,2.5,0.5391742784684698,0.5727990413339276,2.037921021387837,-0.4620789786121628,0.5727990413339276,0.4272009586660724,-134,134,PASS,PASS,0.0,0.4272009586660724,0.5654,-0.007399041333927547
